component,mean,se,ci_lo,ci_hi,p_positive,point_estimate,outcome
retrieval,-0.8484017666605969,0.27855725097108514,-1.443450324349252,-0.3363970621702134,0.0,-0.8185373840324734,overall
expression,0.6986023533452491,0.1597674079102898,0.397283166448243,1.0282576352227664,1.0,0.7008763912808531,overall
total,-0.38677784995855846,0.28191506136930744,-0.9767782993705998,0.1335205651214721,0.08,-0.36860952220413945,overall
interaction,-0.2369784366432107,0.2328346972321629,-0.7016718384472076,0.20294684874757796,0.148,-0.2509485294525191,overall
retrieval,-1.6632248245453656,0.27140737253686387,-2.220463571195581,-1.164853871317321,0.0,-1.6271303495220426,purchase
expression,-0.09563762233773883,0.22233898986627731,-0.4856304794894086,0.3676529874749226,0.32,-0.08197468463146268,purchase
total,-1.333152643451132,0.262296031736199,-1.9128370133516133,-0.8667258941982132,0.0,-1.2974666191055266,purchase
interaction,0.42570980343197246,0.25490689209759,-0.07915955776446415,0.9056710657318673,0.954,0.41163841504797866,purchase
retrieval,-0.912532581594802,0.2824357776310622,-1.5265747631183535,-0.37463171611768625,0.0,-0.8795735685070807,satisfaction
expression,0.6494141844901805,0.1540078332792489,0.3518132463442217,0.9626905860679992,1.0,0.6544572297578035,satisfaction
total,-0.22778320496024554,0.27687144362542765,-0.7866823591281606,0.28356964819807234,0.194,-0.20584517060169782,satisfaction
interaction,0.03533519214437598,0.20638480952266497,-0.35114854736921347,0.4489472601888614,0.582,0.019271168147579343,satisfaction
retrieval,-0.5775016782863234,0.266244351637017,-1.1015918383585548,-0.07555899775765014,0.01,-0.5588192857765122,trust
expression,1.11708256140929,0.1814131124440912,0.8060522371401033,1.5018712588431948,1.0,1.109995654254953,trust
total,-0.17704429352703163,0.26011770567695275,-0.7142656956935951,0.3104685727671033,0.256,-0.1641637250527218,trust
interaction,-0.7166251766499983,0.2713706277414961,-1.2694806097148696,-0.22614638520720148,0.004,-0.7153400935311626,trust
