product_id,impressions,purchases,avg_satisfaction,returns,conversion_rate,return_rate
laptop_acer_swift_go_14,1000,437,3.0701954650155767,112,0.437,0.2562929061784897
laptop_asus_zenbook_14,1000,583,3.515445061433596,100,0.583,0.17152658662092624
laptop_dell_xps_14,1000,453,3.2258227033916222,93,0.453,0.2052980132450331
laptop_framework_16,1000,299,2.6554561021290204,110,0.299,0.36789297658862874
laptop_hp_elitebook_845,1000,530,3.6125969792100237,65,0.53,0.12264150943396226
laptop_lg_gram_14,1000,361,2.959189049805936,105,0.361,0.29085872576177285
laptop_macbook_air_m4,1000,589,3.5300585964578164,81,0.589,0.13752122241086587
laptop_macbook_pro_m4,1000,415,3.4515463541205715,73,0.415,0.17590361445783131
laptop_system76_lemur,1000,290,2.6449460333680737,116,0.29,0.4
laptop_thinkpad_x1_carbon,1000,511,3.6662178410041815,63,0.511,0.1232876712328767
